ID,Input1_Expression_1,Input2_Expression_2,Input3,Input4,PE_bin0_Expression_1,PE_bin0_Expression_2,PE_bin1_Expression_1,PE_bin1_Expression_2,PE_bin2_Expression_1,PE_bin2_Expression_2,bin_0_1,bin_0_2,bin_1_1,bin_1_2,bin_2_1,bin_2_2,concentration,class,Input1_Expression_1_freq,Input2_Expression_2_freq,PE_bin0_Expression_1_freq,PE_bin1_Expression_1_freq,PE_bin2_Expression_1_freq,PE_bin0_Expression_2_freq,PE_bin1_Expression_2_freq,PE_bin2_Expression_2_freq,avg_input_freq,Exp_weight_1,Exp_score_1,Exp_weight_2,Exp_score_2,Exp_score
KC802097.1,2896.0,1858.0,3045.0,2150.0,9068.0,6226.0,18800.0,3800.0,1801.0,1773.0,8604.0,2844.0,931.0,68.0,105.0,42.0,A,others,0.00044148011198386105,0.0005178985632006187,0.0024160618963674886,0.004996481388565257,0.0004066379928962464,0.0022774094659333997,0.0007634075330910353,0.0004350922768422994,0.00047968933759223986,-0.7739001030641937,0.6542242518071906,-0.718859747075173,0.812077951590293,0.7331511016987418
MK269972.1,2022.0,1363.0,1701.0,1305.0,2810.0,10782.0,1156.0,1408.0,2322.0,4019.0,1953.0,5463.0,1157.0,184.0,155.0,124.0,A,others,0.00030828935676332445,0.00037999657891643027,0.0007488752884208855,0.000307479866314026,0.0005242064691997671,0.003943681752233796,0.00028298900661017333,0.0009859475495524485,0.00034414296783987733,-0.15490712361696354,1.0227047824601665,-0.6020480489745038,0.9114015833222576,0.9670531828912121
AJ236543.1,1445.0,458.0,236.0,443.0,5.0,3.0,875.0,398.0,190.0,538.0,6.0,224.0,6.0,0.0,1172.0,1.0,A,others,0.00022035907557081916,0.00012787274906352015,1.598453123630492e-06,0.00023280238797846739,4.310091933583966e-05,1.4629256244955191e-06,8.013670236867221e-05,0.00013219545502705715,0.00017411591231716964,1.4307866290543256,1.9666529286236516,1.955994277009296,3.0864752965888025,2.526564112606227
KT304378.1,2861.0,2514.0,5032.0,2805.0,35288.0,29795.0,17136.0,18205.0,4711.0,1277.0,14573.0,5693.0,3070.0,1718.0,174.0,133.0,A,others,0.00043614638608830184,0.0007006535161105734,0.009401302046632738,0.004554263153866433,0.0010633064497930704,0.010897332976867123,0.0036565634168522466,0.0003134430269472709,0.0005683999510994376,-0.9465295577702447,0.5514596079606242,-1.5411616086292883,0.1128842184496049,0.3321719132051146
DQ926325.1,2847.0,1713.0,1440.0,1326.0,6349.0,2185.0,4274.0,3975.0,730.0,1279.0,4260.0,4041.0,1035.0,51.0,194.0,457.0,A,others,0.0004340128957300781,0.00047750303245070494,0.0016916962225089374,0.0011361075440730001,0.00016495692164659052,0.0007994888537868012,0.0007985552095685231,0.0003139335481162025,0.0004557579640903915,-1.0109518361438736,0.5131096490609495,-0.4059746848152961,1.0781204901684973,0.7956150696147234
MW602718.1,1586.0,862.0,712.0,708.0,11.0,15.0,252.0,272.0,994.0,1336.0,263.0,806.0,718.0,272.0,73.0,10.0,A,others,0.0002418463713215007,0.00024042305542879716,3.196906247260984e-06,6.723630611706878e-05,0.00022453096722073538,5.8517024979820765e-06,5.4830375304880986e-05,0.0003279134014307521,0.00024113471337514894,1.8465463468883423,2.2141506653321024,1.748476927756579,2.9100257019822133,2.562088183657158
MN284045.1,511.0,352.0,686.0,403.0,3414.0,3986.0,3487.0,3296.0,47.0,34.0,1192.0,865.0,113.0,7.0,17.0,12.0,A,others,7.802479024360955e-05,9.834222313599699e-05,0.0009097862361996884,0.0009269574535033039,1.0831644649844521e-05,0.0014581711162159087,0.0006621822248358704,8.584120456302413e-06,8.818350668980327e-05,-1.9242449584517225,-0.030564908686436,-2.2301126881615994,-0.47292289177521185,-0.25174390023082394
AB063914.1,3943.0,2749.0,3794.0,2708.0,38.0,523.0,2395.0,3351.0,3805.0,3055.0,2355.0,5223.0,1624.0,43.0,70.0,254.0,A,others,0.0006010347123453048,0.0007661221349121579,1.0389945303598197e-05,0.0006367517369822007,0.0008588591570272551,0.00019164325680891302,0.0006732286374430808,0.0007495163461274334,0.0006835784236287313,1.9173086891147442,2.2562748028903616,0.5922875660704452,1.926931300995409,2.091603051942885
MK901903.1,2897.0,1533.0,1114.0,1223.0,3934.0,2203.0,2777.0,1615.0,401.0,555.0,1910.0,4072.0,796.0,43.0,37.0,31.0,A,others,0.0004416325041523056,0.00042735685634736367,0.0010483188402476643,0.0007382705865344548,9.071502394244787e-05,0.000806072019097031,0.00032456368678640177,0.00013636488496297547,0.00043449468024983466,-1.0628141714203716,0.48223650274408447,-0.7716712954471704,0.7671729046901566,0.6247047037171205
MW176591.1,1918.0,1381.0,1471.0,1140.0,27.0,132.0,2740.0,2076.0,2651.0,1475.0,1603.0,1758.0,956.0,15.0,139.0,18.0,A,others,0.00029244057124509125,0.0003850111965267644,7.459447910275629e-06,0.0007284376089600218,0.0005984483669039097,4.8642277014476014e-05,0.0004171527088213839,0.000362004622671496,0.00033872588388592784,1.904320000580758,2.2485427622979732,0.8717002196704564,2.164512638812289,2.206527700555131
AM040567.1,2249.0,1852.0,2210.0,1861.0,5128.0,2110.0,4674.0,5202.0,2038.0,1804.0,4867.0,4004.0,153.0,36.0,54.0,138.0,A,others,0.00034288237900023726,0.000516227023997174,0.0013664110118501323,0.0012424100043371405,0.0004601192383548537,0.0007720589983275102,0.001044990632642109,0.0004426953549607387,0.00042955470149870566,-0.47271096109737193,0.8335192334044904,-0.2415455239154601,1.2179326980959644,1.0257259657502273
KJ880539.1,2599.0,2350.0,3898.0,2182.0,812.0,40.0,4698.0,6214.0,3156.0,2754.0,3071.0,4390.0,686.0,55.0,114.0,97.0,A,others,0.0003962196379558297,0.0006549647778830847,0.00021659039825193166,0.0012487881519529888,0.0007124062949908157,1.4994987651079072e-05,0.0012482446246147815,0.0006756929102032328,0.0005255922079194572,0.5170885484883909,1.4227373031440196,1.653803249618588,2.8295257717955593,2.1261315374697896
CR9114_S10C,2158.0,981.0,1352.0,1036.0,1162.0,220.0,1822.0,1408.0,474.0,329.0,602.0,1086.0,3849.0,2674.0,199.0,1307.0,A,CR9114 mutant,0.00032901469167178325,0.00027357524963045056,0.00030983349713037704,0.0004844734626538197,0.00010718815018075306,8.082664075337744e-05,0.00028298900661017333,8.093599287370846e-05,0.0003012949706511169,-0.4609815929133402,0.8405016127790284,0.0005871693432962862,1.4238153181292375,1.132158465454133
CR9114_H3I,1443.0,810.0,1411.0,964.0,21.0,24.0,3545.0,238.0,726.0,530.0,589.0,258.0,14.0,5.0,17.0,5.0,A,CR9114 mutant,0.00022005429123393006,0.00022593638233227637,5.860994786645137e-06,0.0009423713102416042,0.00016405428459243681,9.143285153096995e-06,4.800168387496907e-05,0.00013023337035133087,0.00022299533678310322,1.4470162422270734,1.9763142602909787,1.153620015559951,2.4042257706319043,2.1902700154614414
