"ID","Kd.x","Kd_SE.x","p.value.x","Kd.y","Kd_SE.y","p.value.y"
"01.s.01_Heavy_1",1.21928760162208e-06,0.000209709978083474,0.995726012067091,2.82243978756069e-06,0.0029847354430047,0.999304866453116
"01.t.01_Heavy",2.10086035394565e-07,1.82101495201209e-07,0.332202750036819,1.93113640279956e-06,0.00232698646942896,0.999389945665261
"018_10_4D03_1",4.64568479549939e-07,3.88059239549392e-05,0.991535113216661,1.8005420356358e-06,0.000370231762593714,0.996561159566049
"019-10117_3E04",3.95497375311175e-08,7.63511266524035e-09,0.0139663799324602,3.74198833095127e-06,0.0219043291437821,0.999874419571506
"029_09_4A01_1",3.51023164814108e-07,2.57676439173803e-06,0.900270000786851,4.72377824542363e-06,0.0426724511787789,0.999918624925036
"030_09_1A06_1",4.58366683211666e-07,4.3595132866133e-05,0.99227116812949,4.53658206109013e-07,4.84397001097555e-06,0.931288138053144
"030_09_1E04",8.31795936142413e-07,0.000600628113142561,0.998981970309182,1e-05,1.62691293010459,0.999995481594741
"030_09M_1D06_1",2.25692141745838e-07,4.56986766266605e-06,0.963715009077175,3.99536586553976e-07,5.21510197105437e-05,0.994368325089341
"030M_10_1F03_1",3.05945648453779e-08,3.95779263609495e-08,0.520367792108108,1.34257931121739e-06,2.77235032766595e-05,0.965776662212076
"039_10_4B04_1",8.14434925668049e-08,2.29658611397372e-06,0.973938356320548,1e-05,1.64026579511968,0.999995518377594
"039_10_5G02_1",1.66391282006439e-07,3.12708743943634e-06,0.960909886209573,9.6817522765623e-07,9.73256689231018e-05,0.992687489377479
"039_10_5G05_1",3.77193067631594e-09,9.63774026606456e-10,0.0296490712092441,3.86507624242724e-09,9.86829410107226e-10,0.0295909271753446
"042_10_4D02_1",1.19915993144412e-07,6.45149143323036e-06,0.986857908755222,4.37167500233223e-07,4.47914734839213e-06,0.931149718990471
"042-100809_3C06_1",2.93389625973296e-06,0.00392945006697103,0.999451138944397,1.60913425694466e-06,0.00102502705648426,0.998845998947374
"047_09_4F01_1",4.26821350505178e-07,9.13064617833032e-06,0.965653435165484,2.90534985432423e-06,0.00180025454768275,0.99881364747301
"047_10M_2D03_1",2.05004757697387e-07,7.75976421892104e-07,0.816366615720366,2.00141753592705e-06,0.0020864460124275,0.999321709942335
"051_09_4C06_1",1e-05,3.71261528949206,0.999998095394416,3.76854710852916e-06,0.0215873213004585,0.999876558783822
"051_09_4E06_1",1.56108719525069e-07,3.2324180871703e-06,0.964516689962656,5.75466944468031e-06,0.0759593614632717,0.999944308544582
"1009-3A02_1",3.47013159311518e-07,2.17718734770295e-05,0.988284114527868,1.17295152573155e-06,5.5171780569302e-05,0.984373240149988
"1009-3B05_1",1.35398995937757e-06,0.00028784784504071,0.996542200419852,9.94409256853185e-07,0.000110590502152247,0.993390189377297
