,ID,K_bin0_Expression_1,K_bin0_Expression_2,K_bin0_binding_1,K_bin0_binding_2,K_bin1_Expression_1,K_bin1_Expression_2,K_bin1_binding_1,K_bin1_binding_2,K_input_Binding_1,K_input_Binding_2,K_input_Expression_1,K_input_Expression_2,concentration
66,KJ880345.1,,,1.0,55.0,,1.0,,53.0,5.0,11.0,8.0,8.0,A
67,321.5.GC.28.1C04_1,,,,4.0,,,,5.0,1.0,1.0,,2.0,A
68,125b06,132.0,43.0,88.0,9.0,4.0,432.0,2.0,396.0,1029.0,1154.0,1323.0,1080.0,A
69,039_10_5G02,193.0,33.0,6.0,72.0,151.0,630.0,407.0,905.0,833.0,1163.0,1181.0,934.0,A
70,532,95.0,30.0,26.0,52.0,17.0,347.0,,59.0,444.0,364.0,578.0,533.0,A
71,16563430_62h02,337.0,98.0,190.0,358.0,394.0,1604.0,3.0,279.0,1543.0,1525.0,2225.0,1738.0,A
72,DQ179658.1,,,,21.0,,,,23.0,7.0,6.0,3.0,5.0,A
73,125b12,68.0,58.0,70.0,27.0,62.0,186.0,24.0,409.0,626.0,700.0,869.0,805.0,A
74,MK269731.1,,,,6.0,,,,6.0,86.0,81.0,60.0,58.0,A
75,CR9114_Y8_,,,,35.0,,,,45.0,11.0,11.0,10.0,10.0,A
76,315-24-06_1F11,,,,6.0,,,,2.0,3.0,1.0,1.0,1.0,A
77,ab166,,2.0,4.0,3.0,2.0,11.0,20.0,23.0,39.0,10.0,15.0,6.0,A
78,BC016381.1,,,,3.0,,,,5.0,1.0,1.0,,,A
79,AY392858.1,,1.0,,7.0,,,,19.0,8.0,2.0,3.0,2.0,A
80,HM995558.1,,,,8.0,,,,8.0,2.0,4.0,3.0,1.0,A
81,AJ236548.1,,,,6.0,,,,8.0,2.0,2.0,1.0,3.0,A
82,235G2D2,278.0,37.0,196.0,252.0,349.0,1114.0,33.0,215.0,1864.0,1997.0,2711.0,2059.0,A
83,MW655226.1,,,,3.0,,,,6.0,,1.0,,,A
84,MN282479.1,,,,3.0,,,,3.0,,,,,A
85,321.5.GC.60.1F03_1,,,,21.0,,,,17.0,3.0,5.0,8.0,1.0,A
86,MN285172.1,,,,8.0,,,,5.0,5.0,5.0,2.0,3.0,A
87,AY393365.1,,,,8.0,,,,4.0,,1.0,3.0,3.0,A
88,10_63-5D,94.0,1.0,74.0,156.0,97.0,550.0,1.0,180.0,559.0,567.0,808.0,638.0,A
89,2E01,236.0,243.0,121.0,223.0,124.0,1167.0,87.0,286.0,1770.0,1902.0,2290.0,1862.0,A
90,DQ535445.1,,,,13.0,,,,19.0,8.0,6.0,6.0,5.0,A
91,MN282966.1,,,,1.0,,,,3.0,,,,,A
92,HQ703984.1,,,,1.0,,,,6.0,2.0,,,2.0,A
93,MK416659.1,,,,13.0,,,,14.0,9.0,11.0,12.0,5.0,A
94,MN288043.1,,,,3.0,,,,9.0,,,3.0,2.0,A
95,MW654602.1,,,,15.0,,,,16.0,,2.0,1.0,3.0,A
96,MW802425.1,,1.0,,38.0,,,,37.0,17.0,26.0,12.0,13.0,A
97,HM152502.1,,,,1.0,,,,3.0,1.0,,,1.0,A
98,HM152527.1,,,,3.0,,,,2.0,2.0,1.0,,1.0,A
99,AB066953.1,,,,13.0,,,,13.0,8.0,4.0,4.0,8.0,A
100,16563430_60d03,148.0,4.0,100.0,123.0,118.0,154.0,1.0,199.0,989.0,870.0,1317.0,902.0,A
101,DQ021405.1,,,,10.0,,,,9.0,6.0,5.0,4.0,4.0,A
102,MN284456.1,,,,7.0,,,,8.0,1.0,1.0,2.0,,A
103,321.5.PB.5.7A05,455.0,83.0,169.0,452.0,422.0,1007.0,15.0,72.0,828.0,1005.0,1843.0,1656.0,A
104,JN110977.1,,,,7.0,,,,13.0,2.0,1.0,1.0,3.0,A
105,DQ100847.1,,,,5.0,,,,3.0,6.0,10.0,,,A
106,315-06-06_1A09,,,,10.0,,,,14.0,7.0,7.0,3.0,3.0,A
107,148,,,,13.0,,,,9.0,1.0,2.0,2.0,3.0,A
108,MN285350.1,,,,,,,,3.0,,1.0,,,A
109,U82961.1,,,,4.0,,,,6.0,1.0,4.0,3.0,2.0,A
110,DH307,,,20.0,,31.0,26.0,,163.0,86.0,39.0,128.0,96.0,A
111,125g11,321.0,178.0,423.0,513.0,485.0,1546.0,4.0,186.0,2256.0,2568.0,3386.0,2784.0,A
112,125h11,191.0,114.0,59.0,150.0,203.0,1017.0,5.0,150.0,1815.0,2181.0,2333.0,2016.0,A
113,CR9114_Y8D,,,,3.0,,,,6.0,3.0,1.0,,2.0,A
