,ID,K_bin0_Expression_1,K_bin0_Expression_2,K_bin0_binding_1,K_bin0_binding_2,K_bin1_Expression_1,K_bin1_Expression_2,K_bin1_binding_1,K_bin1_binding_2,K_input_Binding_1,K_input_Binding_2,K_input_Expression_1,K_input_Expression_2,concentration
940,MK901890.1,,,,9.0,,,,9.0,5.0,5.0,3.0,3.0,A
941,AY155556.1,,,,11.0,,,,10.0,6.0,7.0,7.0,6.0,A
942,315-53-06_1F01,,,,4.0,,,,4.0,,,1.0,1.0,A
943,MN288072.1,,,,16.0,,,,18.0,1.0,1.0,,1.0,A
944,CR9114_V14Q,,,,6.0,,,,10.0,55.0,41.0,48.0,35.0,A
945,MN288060.1,,,,5.0,,,,5.0,,,,,A
946,MK902030.1,,,,5.0,,,,11.0,1.0,2.0,1.0,2.0,A
947,20A-678-41_2A01,,,,6.0,,,,9.0,6.0,1.0,3.0,1.0,A
948,MN285416.1,,,,3.0,,,,3.0,5.0,5.0,2.0,1.0,A
949,MW718428.1,,,,4.0,,,,9.0,,1.0,1.0,2.0,A
950,MG524212.1,,,,9.0,,,,14.0,10.0,5.0,8.0,5.0,A
951,MK901966.1,,,,10.0,,,,21.0,16.0,10.0,6.0,8.0,A
952,AF062161.1,,,,1.0,,,,3.0,,,,,A
953,ADI-19479,21.0,,,,6.0,,,25.0,62.0,20.0,60.0,79.0,A
954,CR9114_M12V,,,,4.0,,,,11.0,4.0,6.0,2.0,6.0,A
955,KJ880401.1,,,,3.0,,,,1.0,,,,,A
956,MK416474.1,,,,21.0,,,,17.0,5.0,5.0,3.0,3.0,A
957,EU146383.1,,,,16.0,,,,12.0,7.0,3.0,1.0,4.0,A
958,MK900881.1,,,,7.0,,,,4.0,,2.0,,,A
959,MW293216.1,,,,3.0,,,,6.0,1.0,,,1.0,A
960,MN291311.1,,,,5.0,,,,6.0,,,1.0,,A
961,KX986436.1,,,,5.0,,,,2.0,,,1.0,,A
962,HQ378390.1,,,,8.0,,,,11.0,2.0,3.0,4.0,3.0,A
963,AJ132852.1,,,,5.0,,,,7.0,3.0,1.0,1.0,3.0,A
964,F022-360_1,,,,6.0,,,,11.0,2.0,2.0,3.0,3.0,A
965,KJ487423.1,,,,4.0,,,,6.0,3.0,1.0,3.0,2.0,A
966,MN283939.1,,,,9.0,,,,2.0,2.0,,1.0,1.0,A
967,KT304431.1,,,,4.0,,,,5.0,2.0,4.0,1.0,1.0,A
968,KY631785.1,,,,3.0,,,,4.0,,1.0,,,A
969,L23555.1,,,,5.0,,,,6.0,,2.0,,3.0,A
970,315-54-06_5C09,,,,2.0,,,,3.0,,1.0,,,A
971,MK269505.1,,,,9.0,,,,12.0,6.0,2.0,4.0,7.0,A
972,CR9114_V14P,,,,8.0,,,,8.0,14.0,27.0,15.0,15.0,A
973,EU549726.1,,,,5.0,,,,11.0,1.0,,2.0,1.0,A
974,GU272047.1,,,,7.0,,,,5.0,1.0,2.0,,1.0,A
975,MN285200.1,,,,4.0,,,,5.0,2.0,1.0,1.0,1.0,A
976,54.ND.03_Heavy,,,,5.0,,,,5.0,,,1.0,2.0,A
977,MW718430.1,,,,6.0,,,,12.0,2.0,,2.0,2.0,A
978,CR9114_R2T,1.0,,,5.0,,,,8.0,30.0,19.0,13.0,20.0,A
979,MW681714.1,,,,9.0,,,,4.0,3.0,2.0,,,A
980,20A-604-30_1F02,,,1.0,19.0,,,,18.0,11.0,7.0,1.0,6.0,A
981,MK901216.1,,,,21.0,,,,25.0,5.0,8.0,4.0,4.0,A
982,MK269784.1,,,,8.0,,,,10.0,2.0,3.0,,3.0,A
983,GQ856069.1,,,,25.0,,,,30.0,6.0,8.0,2.0,3.0,A
984,20A-518-30_1D07,,,,4.0,,,,5.0,2.0,3.0,,1.0,A
985,MW458529.1,,,,11.0,,,,11.0,3.0,7.0,3.0,4.0,A
986,FI5153V,,,,2.0,,,,5.0,8.0,,1.0,1.0,A
987,MK269627.1,,,,5.0,,,,5.0,3.0,,1.0,2.0,A
988,MW458750.1,,,,9.0,,,,11.0,1.0,6.0,,3.0,A
989,AY393347.1,,,,3.0,,,,4.0,1.0,,,4.0,A
990,U00502.1,,,,8.0,,,,7.0,4.0,4.0,5.0,3.0,A
991,AY866752.1,,,,2.0,,,,10.0,4.0,8.0,3.0,2.0,A
992,KT304472.1,,,,7.0,,,,10.0,3.0,3.0,1.0,1.0,A
993,AB826520.1,,,,12.0,,,,13.0,10.0,17.0,9.0,10.0,A
994,125a03,148.0,3.0,180.0,174.0,93.0,351.0,1.0,75.0,694.0,806.0,1032.0,799.0,A
995,HM774811.1,,,,1.0,,,,5.0,1.0,,,1.0,A
996,AY393360.1,,,,2.0,,,,5.0,4.0,4.0,2.0,1.0,A
997,KT304508.1,1.0,,,1.0,,,,15.0,3.0,1.0,1.0,3.0,A
998,MK269839.1,,,,8.0,,,,5.0,1.0,1.0,2.0,2.0,A
999,HM775047.1,1.0,,,2.0,,,,4.0,2.0,2.0,2.0,2.0,A
1000,MN281716.1,,,,10.0,,,,10.0,2.0,,,1.0,A
1001,16.m.01_Heavy_1,,,,6.0,,,,6.0,1.0,3.0,2.0,1.0,A
1002,MN044278.1,,,,9.0,,,,12.0,4.0,1.0,2.0,1.0,A
1003,CR9114_D13F,,,,12.0,,,,11.0,37.0,30.0,25.0,26.0,A
1004,MG819655.1,,,,7.0,,,,7.0,8.0,7.0,,1.0,A
1005,CR9114_Y7A,,,,14.0,,,,12.0,4.0,3.0,,1.0,A
1006,20A-620-30_1B07,,,,10.0,,,,6.0,5.0,4.0,,1.0,A
1007,U82952.1,,,,14.0,,,,13.0,7.0,2.0,3.0,,A
1008,AB063720.1,,,,9.0,,,,8.0,2.0,2.0,,3.0,A
1009,CR9114_V14D,,,,12.0,,,,8.0,88.0,79.0,69.0,49.0,A
1010,KT304533.1,,,,5.0,,,,15.0,5.0,5.0,1.0,4.0,A
1011,AY393009.1,,,,18.0,,,1.0,10.0,4.0,5.0,1.0,5.0,A
1012,315-21-08_1B05,,,,3.0,,,,9.0,1.0,,,,A
1013,CR9114_Y9Q,,,,3.0,,,,3.0,11.0,6.0,4.0,9.0,A
1014,K77-1H04_1,,,,4.0,,,,7.0,,,,2.0,A
1015,CR9114_V14M,,,,8.0,,,,4.0,39.0,31.0,23.0,23.0,A
1016,AB826542.1,,,,12.0,,,,11.0,3.0,4.0,3.0,,A
1017,MK416744.1,,,,7.0,,,,8.0,2.0,3.0,4.0,4.0,A
1018,EF583667.1,,,,10.0,,,,17.0,18.0,15.0,15.0,5.0,A
1019,MW458830.1,,,,7.0,,,,9.0,,,,,A
1020,I8-1B6,,,,10.0,,,,9.0,2.0,3.0,3.0,5.0,A
1021,CR9114_G11D,,,,3.0,,,,9.0,9.0,13.0,7.0,6.0,A
1022,315-24-04_1D10,,,,22.0,,,,17.0,7.0,6.0,6.0,5.0,A
1023,MW458756.1,,,,2.0,,,,1.0,,,,3.0,A
1024,DQ065663.1,,,,6.0,,,,8.0,,2.0,1.0,,A
1025,CR9114_G11S,,1.0,,6.0,,,,8.0,31.0,24.0,25.0,21.0,A
1026,310-18B3,,,,4.0,,,,8.0,3.0,3.0,,,A
1027,MW718380.1,,,,27.0,,,,14.0,5.0,3.0,4.0,4.0,A
1028,CR9114_Y6A,,,,9.0,,,,14.0,2.0,1.0,2.0,1.0,A
1029,U00518.1,,,,11.0,,,,18.0,4.0,1.0,3.0,,A
1030,MN283894.1,,,,11.0,,,,13.0,,3.0,2.0,,A
1031,CR9114_V14S,,,,6.0,,,,9.0,63.0,41.0,32.0,29.0,A
1032,AY998726.1,,,,5.0,,,,3.0,5.0,1.0,1.0,2.0,A
1033,CR9114_S10_,,,,14.0,,,,16.0,6.0,8.0,4.0,1.0,A
1034,MN281039.1,,,,3.0,,,,9.0,6.0,5.0,3.0,4.0,A
1035,MN284301.1,,,,8.0,,,,8.0,5.0,2.0,2.0,,A
1036,MN282070.1,,,,7.0,,,,2.0,1.0,1.0,,1.0,A
1037,CR9114_G4V,,,,7.0,,,,4.0,10.0,15.0,12.0,13.0,A
1038,CR9114_Y7L,,,,,,,,5.0,,1.0,1.0,,A
1039,MW681686.1,,,,1.0,,,,3.0,,,1.0,,A
1040,CR9114_Y8F,,,,2.0,,,,5.0,1.0,3.0,2.0,4.0,A
1041,V3-1G10,,,,12.0,,,,17.0,1.0,9.0,2.0,3.0,A
1042,MN395510.1,,,,5.0,,,,10.0,,,,,A
1043,MW602724.1,,,1.0,4.0,,,,3.0,2.0,,1.0,,A
1044,V3-2C3,,,,11.0,,,,9.0,3.0,1.0,,1.0,A
1045,MW802382.1,,,,8.0,,,,5.0,1.0,2.0,1.0,2.0,A
1046,HQ378394.1,,,,3.0,,,,4.0,1.0,3.0,1.0,,A
1047,EU549730.1,,,,15.0,,,,7.0,4.0,4.0,1.0,3.0,A
1048,MW458888.1,,,,10.0,,,,6.0,1.0,,1.0,,A
1049,CR9114_Y9L,,,,5.0,,,,6.0,7.0,2.0,4.0,5.0,A
1050,AY557624.1,,,,11.0,,,,15.0,2.0,4.0,3.0,1.0,A
1051,CR9114_M12I,,,,18.0,,2.0,2.0,14.0,225.0,203.0,148.0,143.0,A
1052,MN291439.1,,,,12.0,,,,12.0,5.0,3.0,5.0,5.0,A
1053,DQ535284.1,,,,10.0,,,,7.0,1.0,,3.0,2.0,A
1054,HQ392889.1,,,,3.0,,,,4.0,,,,,A
1055,MK269756.1,,,,4.0,,,,8.0,,1.0,1.0,,A
1056,MW458220.1,,,,3.0,,,,4.0,1.0,,,,A
1057,EF175412.1,,,,1.0,,,,3.0,,,,,A
1058,321.5.PB.5.5A04_1,1.0,,,8.0,,,,4.0,1.0,,,2.0,A
1059,MN292453.1,,,,9.0,,,,8.0,8.0,8.0,1.0,3.0,A
1060,FJ492911.1,,,,4.0,,,,2.0,2.0,2.0,,2.0,A
1061,DQ205141.1,,,,10.0,,,,12.0,11.0,9.0,4.0,3.0,A
1062,MW654660.1,,,,7.0,,,,11.0,1.0,3.0,4.0,4.0,A
1063,HQ378365.1,,,,16.0,,,,28.0,6.0,8.0,6.0,3.0,A
1064,315-09-08_1C01,,,,3.0,,,,6.0,2.0,,2.0,1.0,A
1065,MH605115.1,,,,10.0,,1.0,,8.0,22.0,19.0,18.0,22.0,A
1066,HM774040.1,,,,8.0,,,,12.0,3.0,5.0,2.0,1.0,A
1067,KT304351.1,,,,5.0,,,,9.0,1.0,4.0,1.0,1.0,A
1068,AB067383.1,,,,4.0,,,,2.0,,2.0,,1.0,A
1069,70-5B03_1,,,,8.0,,,,12.0,8.0,5.0,6.0,1.0,A
1070,JN376654.1,,,,3.0,,,,4.0,1.0,,,,A
1071,HM995512.1,,,,4.0,,,,5.0,2.0,1.0,,1.0,A
1072,AY155559.1,,,,3.0,,,,3.0,,,,1.0,A
1073,HM995600.1,1.0,,,21.0,,,,21.0,11.0,2.0,6.0,3.0,A
1074,CR9114_Y7K,,,,11.0,,,,8.0,1.0,2.0,1.0,5.0,A
1075,JN111043.1,,,,2.0,,,,4.0,1.0,2.0,,,A
1076,AY393632.1,,,,6.0,,,,5.0,,,,,A
1077,MN281559.1,,,,8.0,,,,4.0,,2.0,1.0,1.0,A
1078,MN283703.1,,,,,,,,1.0,,,,,A
1079,MW602684.1,,,,1.0,,,,4.0,,,,,A
1080,FI4004V,,,,10.0,,,,18.0,7.0,8.0,4.0,6.0,A
1081,KT304462.1,,,,9.0,,,,6.0,3.0,2.0,1.0,3.0,A
1082,HM995013.1,,,,9.0,,,,13.0,2.0,3.0,5.0,7.0,A
1083,MK269853.1,,,,,,,,4.0,2.0,3.0,1.0,1.0,A
1084,MW457894.1,,,,5.0,,,,4.0,,,,,A
1085,KJ880554.1,,,,3.0,1.0,,,4.0,6.0,4.0,4.0,1.0,A
1086,GU358670.1,,,,4.0,,,,6.0,3.0,3.0,3.0,1.0,A
1087,315-54-04_1G01,,,,4.0,,,,6.0,2.0,,,1.0,A
1088,I5-24,,,,13.0,,,,12.0,10.0,12.0,9.0,7.0,A
1089,AF408721.2,,,,6.0,,,,9.0,8.0,4.0,,1.0,A
1090,AY155554.1,,,,2.0,,,,1.0,,,,,A
1091,JN000635.1,,,,5.0,,,,2.0,6.0,3.0,3.0,3.0,A
1092,MN284078.1,,,,4.0,,,,3.0,2.0,4.0,3.0,,A
1093,AJ416562.1,,,,2.0,,,,5.0,,,,,A
1094,MN285114.1,,,,5.0,,,,9.0,1.0,5.0,1.0,1.0,A
1095,GU570268.1,,,,7.0,,,,1.0,,1.0,,,A
1096,AY281329.1,,,,8.0,,,,9.0,4.0,6.0,1.0,,A
1097,20A-518-30_1E03,,,,5.0,,,,5.0,1.0,,,,A
1098,KT304335.1,,,,7.0,,,,12.0,5.0,2.0,5.0,2.0,A
1099,MK269426.1,,,,12.0,,,,9.0,1.0,2.0,,,A
1100,MN283929.1,,,,6.0,,,,11.0,5.0,1.0,5.0,2.0,A
1101,CR9114_R2V,,,,9.0,,,,10.0,20.0,20.0,13.0,14.0,A
1102,MN281119.1,,,,5.0,,,,3.0,3.0,1.0,3.0,1.0,A
1103,MW458172.1,,,,11.0,,,,12.0,2.0,4.0,3.0,1.0,A
1104,MT594070.1,,,,18.0,,,,19.0,10.0,2.0,3.0,5.0,A
1105,MZ883086.1,,,,11.0,,,,8.0,4.0,8.0,3.0,1.0,A
1106,HM996065.1,,,,13.0,,,,12.0,6.0,7.0,2.0,4.0,A
1107,MW655049.1,,,,7.0,,,,6.0,9.0,6.0,2.0,3.0,A
1108,315-09-05M_1D02,,,,11.0,,,,7.0,4.0,3.0,,2.0,A
1109,Z47227.1,,,,16.0,,,,11.0,3.0,3.0,2.0,2.0,A
1110,MN285067.1,,,,12.0,,,,6.0,1.0,2.0,,,A
1111,321.5.PB.5.4D03,,,,10.0,,,,8.0,4.0,2.0,3.0,3.0,A
1112,70-5B01_1,,,,7.0,,,,9.0,3.0,3.0,5.0,2.0,A
1113,315-54-05M_1H04,,,,8.0,,,,11.0,6.0,2.0,6.0,3.0,A
1114,315-53-08_1B09,,,,4.0,,,,2.0,1.0,,,2.0,A
1115,KM604008.1,,,,2.0,,,,4.0,,,,,A
1116,CR9114_Y8I,,,,12.0,,,,13.0,14.0,13.0,12.0,9.0,A
1117,MN284616.1,,,1.0,11.0,,,,4.0,,,,1.0,A
1118,CR9114_R2C,,,,15.0,,,,14.0,18.0,29.0,10.0,8.0,A
1119,FI520V,,,,6.0,,,,9.0,4.0,4.0,,3.0,A
1120,MW457757.1,,,,2.0,,,,8.0,2.0,2.0,,1.0,A
1121,SFV009_2A04,,,,4.0,,,,7.0,2.0,2.0,2.0,1.0,A
1122,MW681716.1,,,,10.0,,,,12.0,6.0,3.0,5.0,3.0,A
1123,KM067709.1,,,,9.0,,,,8.0,,,1.0,5.0,A
1124,FI392V,,,,2.0,,,,1.0,2.0,,,,A
1125,I4-128,,,,10.0,,,,14.0,5.0,3.0,1.0,1.0,A
1126,AB063902.1,,,,12.0,,,,12.0,4.0,3.0,5.0,5.0,A
1127,EF177997.1,,,,1.0,,,,4.0,,,,,A
1128,MN282214.1,,,,2.0,,,,2.0,1.0,2.0,,1.0,A
1129,MN281314.1,,,,9.0,,,,12.0,1.0,3.0,2.0,2.0,A
1130,MN292325.1,,,,7.0,,,,6.0,2.0,2.0,3.0,4.0,A
1131,20A-518-30_1C10,,,,,,,,5.0,1.0,2.0,,,A
1132,AF062175.1,,,,,,,,3.0,,,,,A
1133,CR9114_Y8C,,1.0,,7.0,,,,13.0,,,1.0,,A
1134,MW587378.1,,,,10.0,,,,6.0,1.0,1.0,1.0,4.0,A
1135,MT599857.1,,,,2.0,,,,4.0,1.0,,,1.0,A
1136,MG524218.1,,,,4.0,,,,12.0,,,,,A
1137,HM774529.1,,,,12.0,,,,12.0,3.0,5.0,2.0,1.0,A
1138,MW654994.1,,,,23.0,,,,20.0,6.0,8.0,4.0,5.0,A
1139,MH605122.1,,,,17.0,,,,8.0,4.0,5.0,3.0,4.0,A
1140,U82771.1,,,,3.0,,,,3.0,4.0,,1.0,1.0,A
1141,CR9114_V14I,,,,1.0,,,,4.0,6.0,6.0,10.0,10.0,A
1142,030_09M_1D06_1,,,,6.0,,,,6.0,5.0,4.0,2.0,1.0,A
1143,AF051100.1,,,,8.0,,,,9.0,5.0,5.0,3.0,2.0,A
1144,JX420470.1,,,,4.0,,,,5.0,3.0,1.0,2.0,,A
1145,MN283407.1,,,,2.0,,,,3.0,1.0,1.0,,1.0,A
1146,AB826550.1,,,,16.0,,,,19.0,14.0,22.0,3.0,9.0,A
1147,MW457687.1,,,,8.0,,,,5.0,69.0,49.0,35.0,43.0,A
1148,019-10-3G06,,,,3.0,,,,6.0,,,,,A
1149,321.11.GC.6.1D11_1,,,,3.0,,,,3.0,,1.0,1.0,,A
1150,KT304338.1,,,,8.0,,,,12.0,2.0,4.0,1.0,5.0,A
1151,KX882695.1,,,,5.0,,,,6.0,,,,,A
1152,MN395517.1,,,,11.0,,,,11.0,,3.0,,1.0,A
1153,321.5.PB.5.5F06,,,,6.0,,,,5.0,4.0,4.0,3.0,2.0,A
1154,CR9114_N5I,,,,11.0,,,,12.0,5.0,3.0,1.0,4.0,A
1155,MN281743.1,,,,7.0,,,,8.0,6.0,2.0,1.0,3.0,A
1156,CR9114_Y7C,,,,6.0,,,,6.0,3.0,,,2.0,A
1157,20A-604-30_1A04,,,,5.0,,,,3.0,1.0,,,,A
1158,A17,1.0,6.0,4.0,6.0,1.0,10.0,19.0,14.0,41.0,11.0,17.0,7.0,A
1159,CR9114_N5Q,,,,7.0,,,,10.0,9.0,3.0,8.0,7.0,A
1160,MN280891.1,,,,8.0,,,,12.0,1.0,1.0,1.0,,A
1161,JN110817.1,,,,7.0,,,,6.0,1.0,1.0,1.0,1.0,A
1162,HM775032.1,,,,3.0,,,,3.0,2.0,5.0,2.0,1.0,A
1163,125d10,124.0,1.0,113.0,136.0,248.0,752.0,,1.0,993.0,1244.0,1331.0,1066.0,A
1164,CR9114_H3D,,,,6.0,,,,6.0,,,,,A
1165,030_09_1A06_1,,,,7.0,,,,7.0,6.0,4.0,3.0,1.0,A
1166,L04334.1,,1.0,,21.0,,,,17.0,3.0,5.0,3.0,4.0,A
1167,EU099176.1,,,,2.0,,,,3.0,2.0,,,1.0,A
1168,MN445646.1,,,,4.0,,,,3.0,5.0,6.0,5.0,3.0,A
1169,MW532189.1,,,,18.0,,,,14.0,4.0,7.0,3.0,3.0,A
1170,AY179852.1,,,,2.0,,,,4.0,,1.0,1.0,,A
1171,MW926403.1,,,,2.0,,,,6.0,3.0,1.0,1.0,,A
1172,HM774304.1,,,,29.0,,,,18.0,4.0,6.0,3.0,2.0,A
1173,AY376091.1,,,,14.0,,,,18.0,4.0,4.0,3.0,1.0,A
1174,MN288076.1,,,,7.0,,,,9.0,6.0,4.0,5.0,7.0,A
1175,MN281555.1,,,,6.0,,,,6.0,,1.0,1.0,,A
1176,MW176368.1,,1.0,,14.0,,,,15.0,11.0,6.0,5.0,4.0,A
1177,HM774795.1,,,,9.0,,,,7.0,4.0,4.0,,1.0,A
1178,MN288064.1,,,,5.0,,,,12.0,5.0,11.0,3.0,7.0,A
1179,CR9114_R2Y,,,,1.0,,,,4.0,,,,,A
1180,AY393352.1,,,,5.0,,,,10.0,4.0,1.0,2.0,1.0,A
1181,MN283596.1,,,,5.0,,,,7.0,,,,,A
1182,EF175428.1,,,,,,,,7.0,,,,,A
1183,CR9114_G11H,,,,10.0,,,,14.0,18.0,28.0,13.0,9.0,A
1184,20A-620-30_1E04,,,,12.0,,,,9.0,4.0,3.0,1.0,1.0,A
1185,315-09-05M_1F08,,,,1.0,,,,3.0,,,,,A
1186,HM774667.1,,,,10.0,,,,12.0,1.0,1.0,1.0,2.0,A
1187,321.11.PB.6.4H03_1,,,,15.0,,,,16.0,4.0,2.0,3.0,1.0,A
1188,AY179840.1,,,,9.0,,,,7.0,8.0,8.0,4.0,,A
1189,MN284202.1,,1.0,,7.0,,,,6.0,,,,,A
1190,U64500.1,,,,14.0,,,,9.0,6.0,6.0,2.0,8.0,A
1191,AF306354.1,,,,4.0,,,,4.0,,,1.0,,A
1192,CR9114_S10Q,,,,5.0,,,,4.0,17.0,13.0,16.0,11.0,A
1193,MN281379.1,,,,4.0,,,,3.0,3.0,1.0,,,A
1194,KT304430.1,,,,4.0,,,,5.0,1.0,1.0,1.0,3.0,A
1195,MW458013.1,,,,3.0,,,,4.0,4.0,2.0,1.0,,A
1196,MT151405.1,,,,5.0,,,,12.0,3.0,5.0,4.0,5.0,A
1197,321.4.GC.12.3B04_1,,,,2.0,,,,1.0,1.0,,,,A
1198,MT566116.1,,,,8.0,,,,3.0,1.0,,2.0,1.0,A
1199,MN281709.1,,,,1.0,,,,5.0,,,,,A
1200,CR9114_Y9C,,,,13.0,,,,13.0,8.0,10.0,9.0,5.0,A
1201,MN280999.1,,,,8.0,,,,5.0,2.0,2.0,1.0,2.0,A
1202,AF062156.1,,,,1.0,,,,6.0,2.0,,,,A
1203,V3-2G6,,,,5.0,,,,6.0,8.0,11.0,9.0,6.0,A
1204,MN281516.1,,,,13.0,,,,17.0,2.0,1.0,2.0,,A
1205,DQ100962.1,,,,3.0,,,,1.0,1.0,,,1.0,A
1206,CR9114_H3G,,,,2.0,,,,5.0,4.0,5.0,2.0,4.0,A
1207,MN292323.1,,,1.0,8.0,,,,5.0,1.0,4.0,2.0,5.0,A
1208,321.5.GC.12.2A07_1,,,,3.0,,,,5.0,3.0,,1.0,,A
1209,MW177252.1,,,,9.0,,,,7.0,,,,,A
1210,CR9114_A1T,,,,1.0,,,,4.0,22.0,18.0,20.0,10.0,A
1211,AY392856.1,,,,14.0,,,1.0,15.0,13.0,5.0,8.0,7.0,A
1212,AB067335.1,,,,5.0,,,,6.0,4.0,6.0,4.0,,A
1213,150055-032_4B04,,4.0,9.0,6.0,4.0,14.0,10.0,17.0,24.0,14.0,20.0,7.0,A
1214,MW655267.1,,,,6.0,,,,8.0,1.0,,1.0,1.0,A
1215,EU099066.1,,,,11.0,,,,12.0,2.0,4.0,,1.0,A
1216,AF308561.1,,,,8.0,,,,14.0,2.0,7.0,1.0,8.0,A
1217,K77-2C12_1,,,,10.0,,,,15.0,4.0,4.0,6.0,,A
1218,HM774421.1,,,,3.0,,,,6.0,2.0,1.0,1.0,,A
1219,U95239.1,,,,4.0,,,,6.0,,,,,A
1220,HM774800.1,,,,3.0,,,,3.0,2.0,,,,A
1221,CR9114_Y6N,,,,4.0,,,,3.0,2.0,2.0,1.0,1.0,A
1222,MN282590.1,,,,5.0,,,,5.0,4.0,2.0,,2.0,A
1223,DQ454937.1,,,,6.0,,,,14.0,4.0,7.0,,2.0,A
1224,CR9114_R2L,,,,8.0,,,1.0,9.0,19.0,14.0,9.0,16.0,A
1225,KX948319.1,,,,8.0,,,,7.0,,1.0,1.0,,A
1226,AJ413995.1,,,,10.0,,,,7.0,1.0,,1.0,2.0,A
1227,MW602770.1,,,,4.0,,,,5.0,5.0,5.0,3.0,3.0,A
1228,MN280996.1,,,,6.0,,,,17.0,1.0,3.0,,,A
1229,MW655162.1,,,,4.0,,,,13.0,213.0,206.0,148.0,153.0,A
1230,MN282730.1,,,,9.0,,,,11.0,5.0,1.0,2.0,1.0,A
1231,AM040567.1,,,,3.0,,,,12.0,5.0,6.0,,,A
1232,AY155558.1,,,,11.0,,,,8.0,5.0,6.0,2.0,1.0,A
1233,MN284722.1,,,,14.0,,,,10.0,1.0,,2.0,2.0,A
1234,MW655276.1,,,,9.0,,,,6.0,3.0,5.0,5.0,,A
1235,MW598293.1,,,,14.0,,,,16.0,5.0,4.0,2.0,1.0,A
1236,MW681676.1,,,,4.0,,,,5.0,1.0,,,1.0,A
1237,HQ704006.1,,,,13.0,,,,8.0,3.0,3.0,2.0,3.0,A
1238,AM259138.1,,,,7.0,,,,9.0,2.0,3.0,,2.0,A
1239,HM774728.1,,,,4.0,,,,5.0,3.0,1.0,1.0,1.0,A
1240,CR9114_R2Q,,,,3.0,,,,10.0,84.0,100.0,86.0,53.0,A
1241,MT110156.1,,,,5.0,,,,7.0,1.0,2.0,,2.0,A
1242,JN000436.1,,,,6.0,,,,12.0,,8.0,3.0,6.0,A
1243,MN281739.1,,,,6.0,,,,3.0,,,1.0,1.0,A
1244,MK269709.1,,,,9.0,,,,9.0,5.0,3.0,1.0,2.0,A
1245,MW654818.1,,,,7.0,,,,8.0,5.0,3.0,1.0,3.0,A
1246,MN284248.1,,,,11.0,,,,5.0,13.0,8.0,13.0,1.0,A
1247,AB067019.1,,,,13.0,,,,14.0,2.0,2.0,,1.0,A
1248,JQ301904.1,,,,9.0,,,,4.0,1.0,1.0,2.0,,A
1249,SFV015_1E04_1,,,,1.0,,,,1.0,,,,,A
1250,310-18E8,,,,1.0,,,,8.0,,1.0,4.0,2.0,A
1251,MN288044.1,,,,2.0,,,,7.0,149.0,122.0,93.0,79.0,A
1252,321.5.GC.28.1C09_1,,,,17.0,,,,12.0,6.0,3.0,,1.0,A
1253,MW177277.1,,,,2.0,,,,7.0,2.0,1.0,,2.0,A
1254,CR9114_V14W,1.0,,,7.0,,,,13.0,190.0,159.0,141.0,101.0,A
1255,MT665772.1,,,,5.0,,,,6.0,1.0,2.0,2.0,2.0,A
1256,MK269733.1,,,,5.0,,,,15.0,4.0,4.0,2.0,2.0,A
1257,MN282605.1,,,,3.0,,,,2.0,2.0,2.0,1.0,2.0,A
1258,MW602728.1,,,,4.0,,,,3.0,2.0,2.0,1.0,1.0,A
1259,MT151589.1,,,,11.0,,1.0,,13.0,2.0,8.0,1.0,9.0,A
1260,AY393236.1,,,,3.0,,,,1.0,,,3.0,,A
1261,Z80837.1,,,,14.0,,,,14.0,7.0,2.0,3.0,5.0,A
1262,CR9114_Y7I,,,,14.0,,,,15.0,16.0,18.0,10.0,5.0,A
1263,AY577304.1,,,,11.0,,,,6.0,,1.0,2.0,1.0,A
1264,AF174096.1,,,,7.0,,,,7.0,3.0,4.0,4.0,1.0,A
1265,136a10,219.0,144.0,14.0,221.0,244.0,1077.0,37.0,12.0,1225.0,1555.0,1740.0,1410.0,A
1266,MN288030.1,,,,12.0,,,,16.0,8.0,4.0,7.0,7.0,A
1267,AY393135.1,,,,1.0,,,,2.0,,2.0,1.0,,A
1268,MK269943.1,,,,6.0,,,,13.0,13.0,9.0,4.0,9.0,A
1269,CR9114_H3I,,1.0,,6.0,,,,7.0,2.0,1.0,1.0,2.0,A
1270,KJ423964.1,,,,3.0,,,,4.0,3.0,,,,A
1271,MK901903.1,,,,8.0,,,,7.0,3.0,5.0,3.0,4.0,A
1272,EU835554.1,,,,9.0,,,,4.0,,,,1.0,A
1273,MW458502.1,,,,5.0,,,,9.0,2.0,6.0,2.0,2.0,A
1274,MN285195.1,,,,6.0,,,,10.0,4.0,6.0,1.0,5.0,A
1275,AJ437672.1,,,,1.0,,,,3.0,3.0,1.0,2.0,,A
1276,018_10_4D03_1,,,,9.0,,,,9.0,2.0,3.0,,2.0,A
1277,KU602153.1,,,,1.0,,,,5.0,1.0,1.0,1.0,2.0,A
1278,KT304360.1,,,,7.0,,,,6.0,8.0,4.0,3.0,,A
1279,GQ903511.1,,,,8.0,,,,5.0,3.0,1.0,1.0,2.0,A
1280,MN284978.1,,,,17.0,,,,26.0,6.0,2.0,5.0,4.0,A
1281,HM774382.1,,,,6.0,,,,7.0,,1.0,,,A
1282,CR9114_Y7_,,,,6.0,,,,8.0,3.0,5.0,3.0,5.0,A
1283,MN281163.1,,,,3.0,,,,4.0,3.0,3.0,,2.0,A
1284,KY432408.1,,,,10.0,,,,3.0,1.0,1.0,,2.0,A
1285,HM995304.1,,,,2.0,,,,9.0,,,,,A
